author_id,STATUS,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,word_count
02c37028a782cfda660c7243e45244bb,Supervisor: *PROPNAME* (second preference) Research Area: Regional Economic Integration (fifth prefernece)  ,2.05,4.0,2.2,2.2,3.75,n,y,n,n,n,09/25/09 09:53 AM,134.0,8096.6,92.24,0.07,8311.0,0.47,0.35,11
02c37028a782cfda660c7243e45244bb,cartography+Select. Topics in the Geography of China     (????F?add?...),2.05,4.0,2.2,2.2,3.75,n,y,n,n,n,12/31/09 09:26 AM,134.0,8096.6,92.24,0.07,8311.0,0.47,0.35,8
02c37028a782cfda660c7243e45244bb,"Tentative Examination Schedule, Semester 1, 2009//10. .",2.05,4.0,2.2,2.2,3.75,n,y,n,n,n,10/28/09 08:10 PM,134.0,8096.6,92.24,0.07,8311.0,0.47,0.35,7
03133a828cd0cf52e3752813ce5d818f,"Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this month. Not bad...and to clarify *PROPNAME* is a Crossfit workout, *PROPNAME* get your head out of the gutter",3.84,3.55,2.85,4.32,3.45,y,y,n,y,n,11/11/09 03:54 AM,584.0,164031.0,96.69,0.02,167499.0,0.49,0.12,36
03133a828cd0cf52e3752813ce5d818f,Feels aweful right now. Why do you get sick like this on weekends only... I better not have to use a sick day tomorrow or I will be pissed.,3.84,3.55,2.85,4.32,3.45,y,y,n,y,n,11/15/09 06:12 PM,584.0,164031.0,96.69,0.02,167499.0,0.49,0.12,29
03133a828cd0cf52e3752813ce5d818f,"Did Cindy 30 times in 20 minutes and GI jane in 12:11. Save the sex joke, its Crossfit. 2010 crossfit games here I come!!!!",3.84,3.55,2.85,4.32,3.45,y,y,n,y,n,09/02/09 03:26 AM,584.0,164031.0,96.69,0.02,167499.0,0.49,0.12,24
03133a828cd0cf52e3752813ce5d818f,"Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this week. Life is good",3.84,3.55,2.85,4.32,3.45,y,y,n,y,n,11/10/09 04:36 AM,584.0,164031.0,96.69,0.02,167499.0,0.49,0.12,22
03133a828cd0cf52e3752813ce5d818f,"Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this month. Not bad",3.84,3.55,2.85,4.32,3.45,y,y,n,y,n,11/10/09 04:47 AM,584.0,164031.0,96.69,0.02,167499.0,0.49,0.12,21
03e6c4eca4269c183fa0e1780f73faba,"""In awe I watched the waxing moon ride across the zenith of the heavens like an ambered chariot towards the ebony void of infinite space wherein the tethered belts of Jupiter and Mars hang forever festooned in their orbital majesty. And as I looked at all",3.2,3.6,3.85,4.35,4.8,n,y,y,y,y,07/11/09 08:29 AM,222.0,21894.7,90.06,0.04,23462.0,0.48,0.21,46
03e6c4eca4269c183fa0e1780f73faba,"""Parents spend the first part of our lives teaching us to walk and talk, and the rest of it telling us to sit down and shut up."" XD",3.2,3.6,3.85,4.35,4.8,n,y,y,y,y,07/29/09 07:08 AM,222.0,21894.7,90.06,0.04,23462.0,0.48,0.21,28
03e6c4eca4269c183fa0e1780f73faba,"podkanva vseki, koito ima da i prashta snimki ot razlichni meropriyatiya, da go stori v skype vuzmojno nai-skoro... ^^ :P",3.2,3.6,3.85,4.35,4.8,n,y,y,y,y,01/31/10 01:16 PM,222.0,21894.7,90.06,0.04,23462.0,0.48,0.21,20
03e6c4eca4269c183fa0e1780f73faba,"""Ah, *PROPNAME*. The eyes are open, the mouth moves, but *PROPNAME* has long since departed."" ~ *PROPNAME* XD XD",3.2,3.6,3.85,4.35,4.8,n,y,y,y,y,09/28/09 03:50 PM,222.0,21894.7,90.06,0.04,23462.0,0.48,0.21,19
